,id,name,price,original_price,discount,discount_rate,rating_average,review_count,thumbnail_url,quantity_sold,categories,description,authors,publisher,publication_date,manufacturer,book_cover,number_of_page
0,22881852,English Grammar in Use Book w Ans,160200,178000,17800,10,5.0,2607,https://salt.tikicdn.com/cache/280x280/ts/product/cc/e8/0c/e0611dc69eb0990860885091780b0362.jpg,12117,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study. An online version, book without answers, and book with answers are available separately.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Raymond Murphy,Cambridge University,2017-01-01 00:42:01,CAMBRIDGE UNIVERSITY,Bìa mềm,0
1,49181801,Oxford Advanced Learner's Dictionary : Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App),522660,562000,39340,7,5.0,497,https://salt.tikicdn.com/cache/280x280/ts/product/a6/f7/1c/43681a8cf8992b442828b319aada425e.jpg,2292,"['Nhà Sách Tiki', 'English Books', 'Dictionary', 'English Language Dictionary']","
Oxford Advanced Learner's Dictionary 10th edition builds English vocabulary better than ever before and leads the way to more confident, successful communication in English.The Oxford Advanced Learner's Dictionary is the world's bestselling advanced level dictionary for learners of English.Now in its 10th edition, the Oxford Advanced Learner's Dictionary, or OALD, is your complete guide to learning English vocabulary with definitions that learners can understand, example sentences showing language in use, and the new Oxford 3000™ and Oxford 5000™ word lists providing core vocabulary that every student needs to learn.OALD is more than a dictionary. Take your English skills to the next level with extra resources and practice including the online iSpeaker and iWriter, or practise words anytime, anywhere with the Oxford Advanced Learner's Dictionary app.Includes 1 year's access to Oxford Advanced Learner's Dictionary premium online and 1 year's access to the Oxford Advanced Learner's Dictionary 10th edition app.- Over 60,000 words, 79,000 phrases, 89,000 meanings and 109,000 examples- 1000+ NEW words and meanings (chatbot, fake news, microplastic, woke)- NEW Oxford 3000™ and Oxford 5000™ keywords graded by CEFR level- NEW OPAL™ (Oxford Phrasal Academic Lexicon) teaches academic keywords- Visual Vocabulary Builder including NEW illustrations for topic vocabulary- Oxford Speaking Tutor and iSpeaker prepare you for exams and presentations – UPDATED iSpeaker coming soon- Oxford Writing Tutor and iWriter help you plan, write and review your written work- Teaching resources including 50 NEW vocabulary worksheets and NEW and revised lesson plans available onlineGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....","Diana Lea, Jennifer Bradbery",Oxford University Press,2020-01-16 17:49:15,Oxford University Press,Bìa mềm,0
2,22878271,Essential Grammar in Use Book with Answers Edition: A Self-Study Reference and Practice Book for Elementary Learners of English,165540,178000,12460,7,5.0,524,https://salt.tikicdn.com/cache/280x280/ts/product/72/39/81/e167dd981ca6ed10da8ab8256da67971.jpg,3096,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises and answer key, the Fourth edition is perfect for independent study, covering all the areas of grammar that you will need at this level. The book has an easy-to-use format of two-page units with clear explanations of grammar points on the left-hand page, and practice exercises on the right. It also includes plenty of additional exercises and a Study Guide to help you find the grammar units you need to study.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Raymond Murphy,Cambridge University,2024-03-13 14:32:08,CAMBRIDGE UNIVERSITY,Bìa mềm,319
3,185226873,Achievers Grade 7 Student's Book with CLIL Book,251000,251000,0,0,5.0,25,https://salt.tikicdn.com/cache/280x280/ts/product/c1/17/af/e65b9a124f1fddf6962742c30d41a889.jpg,282,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'ELTs']","Achievers Grade là bộ sách dành cho chương trình tiếng Anh tăng cường trung học cơ sở tại TP Hồ Chí Minh. Bộ sách bao gồm 4 cấp độ từ lớp 6 đến lớp 9, được biên soạn theo khung tham chiếu năng lực tiếng Anh Châu Âu (CEFR), giúp người học phát triển đồng đều 4 kỹ năng tiếng Anh và trang bị đủ kiến thức để tham dự các kỳ thi tiếng Anh quốc tế của Cambridge như KET, PET, FCE, IELTS và TOEFL Junio
Đặc điểm nổi bật
​​​​​​​Achievers giúp học viên:
Học tiếng Anh giao tiếp hiện đại
Cải thiện vốn từ vựng của học viên thông qua bộ từ vựng và mục xây dựng từ vựng
Tập trung vào các dạng bài thi Cambridge và TOEFL thông qua Mục Luyện Thi
Tham gia vào các Dự án nhằm phát triển kỹ năng nói

#sach #dtp_books #sach_tieng_anh #English_book #Achievers_Grade
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,,Nhà Xuất Bản Đại Học Huế,,0
4,23437685,English Vocabulary in Use: Pre-Intermediate and Intermediate Book with Answers: Vocabulary Reference and Practice (Kèm CD),177600,193000,15400,8,5.0,335,https://salt.tikicdn.com/cache/280x280/ts/product/ba/36/7c/f83ea4d4866c839d3a952e383dd67f4e.jpg,2059,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","Vocabulary explanations and practice for pre-intermediate level (B1) learners of English. Perfect for both self-study and classroom activities. Quickly expand your vocabulary with over 100 units of easy to understand explanations and practice exercises. Be confident about what you are learning, thanks to Cambridge research into how English is really spoken and written, and get better at studying by yourself, with units on learning vocabulary, personalised practice and an easy to use answer key.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Stuart Redman,Cambridge University,,CAMBRIDGE UNIVERSITY,Bìa mềm,264
5,185500894,i-Learn Smart Start 5 Student's Book Special Edition,113000,113000,0,0,5.0,13,https://salt.tikicdn.com/cache/280x280/ts/product/28/03/e0/7f0a59892713e0c0d49a2642199f97be.jpg,191,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'ELTs']","i-Learn Smart Start Special Edition là bộ giáo trình tiếng Anh gồm 5 cấp độ dành cho học sinh Tiểu học tại Việt Nam. Giáo trình được nghiên cứu và biên soạn bởi đội ngũ các tác giả quốc tế kết hợp với đội ngũ giảng viên của Trường Đại học Sư phạm TP. Hồ Chí Minh, các chuyên gia Việt Nam và đặc biệt là sự tham gia của hơn 300 giáo viên hiện đang giảng dạy phần mềm i-Learn Smart Start Special Edition. Với hơn 70 năm kinh nghiệm giảng dạy tại Việt Nam và khu vực châu Á cùng với năng lực xuất bản cũng như khả năng hiểu rõ môi trường dạy và học tiếng Anh tại Việt Nam, i-Learn Smart Start Special Edition là sự phối hợp giữa xu hướng giảng dạy tiếng Anh quốc tế với nhu cầu thực tế của lớp học tại Việt Nam.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,2023-03-17 15:28:10,Nhà Xuất Bản Đại Học Sư Phạm,Bìa mềm,0
6,25203389,Advanced Grammar in Use Book with Answers  Edition: A Self-Study Reference and Practice Book for Advanced Learners of English,163800,178000,14200,8,5.0,316,https://salt.tikicdn.com/cache/280x280/ts/product/a1/f0/92/d5a94a425736c33e10cbae9cf5de978c.jpg,1849,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","Official preparation for the 'IELTS Life Skills' Speaking and Listening exam. This Student's Book prepares candidates for the IELTS Life Skills - B1 Speaking and Listening exam which is used to prove language level for UK Visa requirements. It includes four practice tests for the exam with a full answer key. There is an introduction to the exam with information about what to expect and guidelines for teachers on how to assess students. There are model Speaking answers, practice exercises and exam tips to support candidates. The accompanying Audio is downloadable using an access code in the book. Audio CDs are also available separately for class use.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Martin Hewings,Cambridge University,,CAMBRIDGE UNIVERSITY,Bìa mềm,294
7,185232575,Tiếng Anh 3 Extra and Friends Activity book (Sách bài tập),65000,65000,0,0,5.0,6,https://salt.tikicdn.com/cache/280x280/ts/product/7e/6d/29/b54f5c6af8bb39def14404e065c4abeb.png,178,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'ELTs']","EXTRA and FRIENDS là một khóa học 5 cấp độ dành cho học sinh sơ cấp Tiếng Anh. Bộ sách theo chương trình giảng dạy Việt Nam và Khung Tham chiếu Chung Châu Âu về Ngôn ngữ (CEFR). Bộ sách nhằm mục đích phát triển các kỹ năng thiết yếu của thế kỷ 21 mà học sinh cần đối với thế giới hiện đại thông qua các hoạt động và nhiệm vụ khác nhau. Tiếng Anh 3 EXTRA and FRIENDS đã được Bộ Giáo dục và Đào tạo thẩm định và phê duyệt theo công văn 709 / QĐ-BGDĐT.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,,Nhà Xuất Bản Đại Học Sư Phạm,,0
8,185500892,i-Learn Smart Start 5 Workbook Special Edition,81000,81000,0,0,5.0,16,https://salt.tikicdn.com/cache/280x280/ts/product/c6/d8/a7/ae31e95cb0777a459888646cf49fee51.jpg,206,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'ELTs']","i-Learn Smart Start là bộ giáo trình tiếng Anh gồm 5 cấp độ dành cho học sinh Tiểu học tại Việt Nam. Giáo trình được nghiên cứu và biên soạn bởi đội ngũ các tác giả quốc tế kết hợp với đội ngũ giảng viên của Trường Đại học Sư phạm TP. Hồ Chí Minh, các chuyên gia Việt Nam và đặc biệt là sự tham gia của hơn 300 giáo viên hiện đang giảng dạy phần mềm i-Learn Smart Start.
Với hơn 70 năm kinh nghiệm giảng dạy tại Việt Nam và khu vực châu Á cùng với năng lực xuất bản cũng như khả năng hiểu rõ môi trường dạy và học tiếng Anh tại Việt Nam, i-Learn Smart Start là sự phối hợp giữa xu hướng giảng dạy tiếng Anh quốc tế với nhu cầu thực tế của lớp học tại Việt Nam.
i-Learn Smart Start Special​​​​​​​
​​​​​​​
i-Learn Smart Start là một khóa học 5 cấp độ dành cho trẻ con học tiếng Anh.
Chương trình dạy vững chắc.
Bám sát khung chương trình Cambridge Young Learner.
Định dạng bài học thân thiện với người học.
Định dạng rõ ràng, nhất quán và logic giúp bài học dễ dàng chuẩn bị, giảng dạy và dễ nắm bắt.
Ngữ liệu truyền động lực.
Những bài hát hấp dẫn, những câu chuyện truyện tranh đầy màu sắc và những trò chơi vui nhộn thu hút sự quan tâm của học sinh.
Cân bằng hiệu quả các kỹ năng.
Sự kết hợp giữa các hoạt động luyện Nghe, Nói, Đọc và Viết ở mức trình độ phù hợp để phát triển một cách có hệ thống khả năng của học sinh.
Chú trọng nội dung và văn hóa.
Các môn học chính (toán, khoa học, địa lý, v.v.) và văn hóa quốc tế.
Kỹ năng làm bài kiểm tra.
Mỗi chủ đề có các bài tập giúp học sinh làm quen với những dạng đề phổ biến trong các kỳ thi Cambridge Young Learners.
#sach #dtp_books #sach_tieng_anh #English #English_book #i-learn_Smart_StartGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,2023-03-17 17:28:53,Nhà Xuất Bản Đại Học Sư Phạm,Bìa mềm,0
9,151597556,American Jetstream Pre-Intermediate A Student's book & Workbook ( không kèm CD),207000,207000,0,0,5.0,97,https://salt.tikicdn.com/cache/280x280/ts/product/dd/9e/be/35836c513e98069f20521e8e2274bbd3.jpg,571,"['Nhà Sách Tiki', 'English Books', 'Education - Teaching', 'ELTs']","JETSTREAM là một khóa học kỹ thuật số 6 cấp độ hoàn toàn mới dành cho người lớn. Sách được cân đối cẩn thận về nhịp độ và các thử thách nhằm cung cấp một trải nghiệm học tập vui thích, khuyến khích học viên sử dụng tiếng Anh hiệu quả trong công việc và cuộc sống.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,,Helbling Languages,,0
